date,pred_momentum,signal,in_market,trade_return,portfolio_value,position_return
2025-01-03,-0.0018183069303631782,-1,0,0.0,9995.0,0
2025-01-06,-0.0018930334597826004,-1,-1,0.0,10455.642865311976,0.04608733019629575
2025-01-07,0.004643213097006082,1,-1,0.0,10383.271776586524,0.03936628410118233
2025-01-08,-0.0019493286497890949,-1,0,0.0,10378.080140698232,0
2025-01-10,-0.004460516199469566,-1,-1,0.0,10647.29800886657,0.025941008791460822
2025-01-13,0.0017476980108767747,1,-1,0.0,10615.59305620554,0.02339771556677845
2025-01-14,-0.002227725903503597,-1,0,0.0,10610.285259677437,0
2025-01-15,-0.0006652368232607841,-2,-1,0.0,10430.052773346484,-0.01649482995445861
2025-01-16,-0.0036491743754595517,-1,0,0.0,10424.83774695981,0
2025-01-17,0.0036973685026168825,-2,-1,0.0,10306.901479077233,-0.010818416733781235
2025-01-21,-0.009235960803925991,-1,0,0.0,10301.748028337695,0
2025-01-22,-0.008807542454451322,-1,-1,0.0,10240.117182716422,-0.00598256193528918
2025-01-23,-0.012060827203094959,-1,-1,0.0,10377.600681229304,0.007363085631967901
2025-01-24,-0.00638359934091568,-1,-1,0.0,10728.41942691172,0.041417378623545546
2025-01-27,-0.0004586072638630867,-1,-1,0.0,10984.421904362158,0.06626777068771111
2025-01-28,0.0021614756435155867,1,-1,0.0,11211.113310271468,0.08881731918238028
2025-01-29,0.004685275861993432,1,0,0.0,11205.507753616334,0
2025-01-30,0.0028670037165284155,1,1,0.0,11370.295158314508,0.014705929291333877
2025-01-31,0.007969541475176811,-2,1,0.0,11035.20107201572,-0.014705832569797404
2025-02-03,-0.00025288756005465985,-1,0,0.0,11029.683471479711,0
2025-02-04,-0.0012884892523288727,-1,-1,0.0,10919.963800892649,-0.009947671741512124
2025-02-05,0.003338133543729782,-2,-1,0.0,10706.71919443043,-0.02879577099873466
2025-02-06,0.0011075399816036224,1,0,0.0,10701.365834833216,0
2025-02-07,0.001217413879930973,-2,1,0.0,10557.823744408663,-0.01291989638612148
2025-02-10,-0.008867716789245606,-1,0,0.0,10552.54483253646,0
2025-02-11,-0.004216516017913818,-2,-1,0.0,9963.374305854764,-0.055359759821909126
2025-02-12,-0.010195573419332504,-1,0,0.0,9958.392618701837,0
2025-02-13,-0.009932370483875274,-2,-1,0.0,9391.246462799707,-0.05647981609284479
2025-02-14,-0.007342847809195518,-1,0,0.0,9386.550839568308,0
2025-02-18,-0.022975370287895203,-2,-1,0.0,8317.818015654646,-0.1134145920696942
2025-02-19,-0.014367644488811494,-1,0,0.0,8313.659106646819,0
2025-02-20,-0.00465372372418642,-2,-1,0.0,8137.200164238988,-0.02073555155397054
2025-02-21,-0.008772209286689758,-1,0,0.0,8133.131564156869,0
2025-02-24,-0.0012723349034786224,-1,-1,0.0,8225.891929965233,0.011405245946981144
2025-02-25,-0.002931789308786392,-1,-1,0.0,8649.941392703446,0.06354376840824565
2025-02-26,0.0069713093340396885,1,-1,0.0,8470.121099611293,0.04195514506338535
2025-02-27,-0.0025034260004758837,-1,0,0.0,8465.886039061488,0
2025-02-28,0.0014775879681110382,-2,-1,0.0,8200.672825327461,-0.030842705054473778
2025-03-03,-0.0023338843137025835,-1,0,0.0,8196.572488914799,0
2025-03-04,0.003752104938030243,1,-1,0.0,8632.265751386412,0.05368238432447198
2025-03-05,0.0007283203303813934,1,0,0.0,8627.94961851072,0
2025-03-06,0.004807008616626263,1,1,0.0,8836.621547954357,0.024185575793806764
2025-03-07,0.0010529211722314358,1,1,0.0,8789.776547293117,0.018756128157633983
2025-03-10,0.0054532792419195175,-2,1,0.0,8483.17172107853,-0.016288248764954116
2025-03-11,0.0030170847661793233,1,0,0.0,8478.930135217992,0
2025-03-12,-5.6247413158416745e-05,0,1,0.0,8434.06782406217,-0.005291034415944002
2025-03-13,-0.014465701580047608,-1,1,0.0,9660.902669717141,0.1399711264677593
2025-03-14,0.00018474385142326356,0,0,0.0,9660.902669717141,0
2025-03-17,-0.009393900632858276,-1,0,0.0,9656.072218382284,0
2025-03-18,-0.0033486086875200273,-2,-1,0.0,9511.480246706795,-0.014481442281090494
2025-03-19,-0.0016416355967521668,-1,0,0.0,9506.724506583441,0
2025-03-20,-0.0010184451006352902,-1,-1,0.0,9430.735252651326,-0.007993210898190274
2025-03-21,0.0036679279059171678,-2,-1,0.0,9306.095519751756,-0.02061420957853293
2025-03-24,0.0024973632069304587,1,0,0.0,9301.44247199188,0
2025-03-25,0.005395282851532101,1,1,0.0,9309.136148789,0.0008271487804485567
2025-03-26,0.002848012000322342,-2,1,0.0,9004.584812407384,-0.03143094372580121
2025-03-27,-0.004829077981412411,-1,0,0.0,9000.08252000118,0
2025-03-28,-0.0038880791515111925,-1,-1,0.0,9246.766219863239,0.027409048674147667
2025-03-31,0.002813643519766629,1,-1,0.0,9242.142836753308,0.027409048674147667
2025-04-01,0.002320526912808418,1,0,0.0,9237.521765334932,0
2025-04-02,-0.0013103480450809002,-1,1,0.0,9270.863840560049,0.004111473508329598
2025-04-03,0.0020674170926213266,1,0,0.0,9266.228408639769,0
2025-04-04,0.00626005232334137,-2,1,0.0,8472.012150411501,-0.08525347080306406
2025-04-07,0.014920488186180591,1,0,0.0,8467.776144336296,0
