THRESHOLD,STOPLOSS_THRESHOLD,TRAILING_STOP_THRESHOLD,yield_pct
0.008754877912770395,-0.22260905736252382,0.5440304903671019,-0.9686505330558814
0.0184646967202425,-0.23921065051108598,0.4827237760648131,0.0
0.006330374641343951,-0.02161769062280655,0.8946536975912749,-2.683968634883771
0.001216644825413823,-0.18640731112100184,0.31240878365933894,-45.688461212400235
0.013945024091750382,-0.08740633790381253,0.7294950135983527,-9.16302519296549
0.01109524596389383,-0.1393795047421008,0.8121530481148511,-20.703505706218237
0.003710325648076832,-0.12685314261354505,0.5550278355833143,-11.070876736289614
0.008254374236799776,-0.20515403382480144,0.6519944219384342,-0.9686505330558814
0.016233314934186636,-0.07403568159788845,0.4000253628473729,-9.16302519296549
0.016989030838012696,-0.16724682988598943,0.67945351251401,-0.1234045927625993
0.010198459891602396,-0.09352143725380302,0.44400215218774974,-21.44849640961303
0.0056634485591202975,-0.22949791378341616,0.8443741593975573,11.208434399526702
0.011860578957945109,-0.0443680207710713,0.6139204160775988,-15.635559882549789
0.014376513174735008,-0.21116439546458424,0.36904000192880626,-9.655819898964001
0.002835343991406262,-0.05500911011360585,0.7645328876562416,-35.38286925483731
0.007939465777017176,-0.1619968025200069,0.5238044375553726,-1.0181662077893505
0.018887157606892288,-0.11724602097645401,0.9242947853170334,0.0
0.01997617216408253,-0.15069641173817216,0.42505121384747324,0.0
0.007172993464395404,-0.10920421917922793,0.697408324247226,-1.0181662077893505
0.0026394373793154954,-0.21738515231758357,0.5902879601810127,-35.98403310968653
0.014848557192832231,-0.05729744985699653,0.86764516714029,-6.8447588310409095
0.012650227076373994,-0.22695934541523458,0.7849864376708864,-9.655819898964001
0.004597646047361195,-0.03834625061601399,0.347668373119086,1.7309144875536475
0.00970320496056229,-0.17503867295570671,0.9400670502334831,-13.469372154048799
0.0171617627767846,-0.10502109148539601,0.5077489272691309,-0.1234045927625993
0.015515557169914245,-0.19374004713259638,0.8783254630863666,-9.655819898964001
0.009243629602715374,-0.06610138717107475,0.4980644752271473,-16.056529072842984
0.004129051553085446,-0.1454832144267857,0.7083266573026776,-11.117648281849979
0.010994422499090432,-0.12925255065783858,0.33322445740923284,-24.247296312390276
0.012932556680403648,-0.1837508147768676,0.5781054066959768,-9.655819898964001
0.0019112267838791012,-0.08149476209655404,0.7881686239968985,-46.68945036960584
0.006454372779466212,-0.2468880237173289,0.4182628896553069,-3.8203356695953317
0.018069181728176772,-0.03322397141717373,0.6334847399499266,-0.1234045927625993
0.017861012533307075,-0.18896631735377012,0.8330483321100473,-0.1234045927625993
0.006914190454408526,-0.09019171512685714,0.6153676972724497,-3.789545490769597
0.0017853940147906542,-0.24178542902693154,0.6729690177366137,-43.33752523893294
0.013326273281127215,-0.024415316898375727,0.46028584493324154,-5.81460616940589
0.010535783178173004,-0.20256279671564698,0.542984244832769,-13.469372154048799
0.004338362862356007,-0.07121807349845766,0.9156282800715416,-13.243223156401596
0.008848772020079197,-0.13677249534986913,0.37274864171631633,-0.9686505330558814
0.015640212717466056,-0.1240232854615897,0.7503902939613908,-13.693335801977558
0.017555460691452026,-0.23206215773709118,0.30877918568439783,-0.1234045927625993
0.009577389745041728,-0.04715512619353829,0.743558577587828,-14.416971643080656
0.005057445036247372,-0.1698233914375305,0.4634643095079809,10.885011854775284
0.012442075435072183,-0.09632435608655213,0.9033998548518865,-19.41166358922233
0.01497323029395193,-0.15940734844654797,0.6585585759952663,-9.655819898964001
0.0022445611106231807,-0.11443370543420314,0.3836620180867612,-43.01574829455143
0.0073823223272338504,-0.20856262379325927,0.8233998335897921,-1.0181662077893505
0.019517514157108964,-0.05218098116107284,0.5536595840938389,0.0
0.019393362000584603,-0.21997309839352966,0.7247309146914631,0.0
0.007777683300897479,-0.06011176692321896,0.3266987364273518,-21.108084250418923
0.0032568926233798264,-0.1533001300971955,0.8797321476507931,-33.98297441560181
0.01427851243689656,-0.11203078529797494,0.48685860238038003,-12.400530851923175
0.01202350354846567,-0.17247637568973004,0.4041608925908804,-20.703505706218237
0.00515842251945287,-0.10223242322914303,0.637073425296694,3.928368053205067
0.010295283407904206,-0.22438127586618065,0.5693183368071913,-13.469372154048799
0.016566341224126518,-0.035545333307236415,0.8073896574787796,-6.8447588310409095
0.016135331749916076,-0.14807639822363855,0.5989953780546784,-9.655819898964001
0.008675904182717204,-0.13206859592348336,0.848503792937845,-0.9686505330558814
0.0035485607255250217,-0.19634554852731526,0.43923224061727517,-20.770811258029852
0.011601431671530008,-0.06893324584700167,0.6937405970878898,-23.29722044963216
0.013522315791808067,-0.2443275094870478,0.9385813359636812,-9.655819898964001
0.0013134858952835201,-0.03044059571810065,0.5190338419284671,-45.37596425082187
0.0058253299156203866,-0.18117798294872045,0.7686618322972207,6.590316925838313
0.01862763886433095,-0.07869557298719881,0.35411443482153115,0.0
