THRESHOLD,STOPLOSS_THRESHOLD,TRAILING_STOP_THRESHOLD,yield_pct
0.004847541051036975,-0.17738161070076844,0.7687895979159471,-20.048942473293252
0.0015977446753531696,-0.1647324340324849,0.9020927132107317,-12.306842106556237
0.012633622675202787,-0.13364686397835612,0.5237185491248965,-6.178853302038878
0.017654689542017876,-0.2484518563374877,0.6780481978785247,-6.178853302038878
0.00967105763591826,-0.04981427417136727,0.38594140973873436,-11.649916646697688
0.005931500229053199,-0.19963769666850567,0.5990785599220543,-20.048942473293252
0.0169386583622545,-0.042097048060968506,0.7899588275235145,-6.228126543857037
0.013624623028561472,-0.1571275263186544,0.3306193562224507,-6.178853302038878
0.005651156301610172,-0.08449580395594239,0.770229806471616,-20.048942473293252
0.0034773142086341976,-0.22714224901981653,0.35660216282121837,-12.454437160703492
0.014494551982730627,-0.07202319979667662,0.7150520343799143,-6.178853302038878
0.015921239305287598,-0.18699660720303654,0.5832610764540731,-6.178853302038878
0.007956247624941171,-0.11228025435470043,0.8552824011072515,-17.48489214318072
0.00895043557882309,-0.13536782329902053,0.6621472353115677,-19.359723579635524
0.019976099171675744,-0.10535619552247225,0.4513597172684967,-11.639057988561142
0.01075644338224083,-0.22055509054102004,0.9281408526469022,-6.178853302038878
0.00276447119563818,-0.020282097496092305,0.46846694010309875,-16.495335298673307
0.0029139554686844348,-0.20761515859514473,0.7446884184610099,-11.787556208504135
0.011500528720207511,-0.034134505027905104,0.3663142543751746,-6.228126543857037
0.01893370694387704,-0.14893925662152468,0.845649151597172,-11.639057988561142
0.008500942286103964,-0.0926972377859056,0.5535423634573817,-15.152580894661149
0.007213050157763063,-0.18370083986781538,0.4416342036798596,-8.367825960842312
0.015770939640700816,-0.1146635461039841,0.6325144712813198,-6.178853302038878
0.014943229883909226,-0.22969378530979156,0.4981796309817582,-6.178853302038878
0.004520594307221472,-0.06855918792076407,0.9377900812309234,-20.048942473293252
0.004610213658772408,-0.1559304549731314,0.5140019440092146,-20.048942473293252
0.01317831882275641,-0.0848084758874029,0.8724518155679106,-6.178853302038878
0.017091331722214817,-0.19978169907815754,0.41566610853187735,-6.178853302038878
0.006677035151980817,-0.04106864623725415,0.6876874331850558,-15.01777937433937
0.01011828595213592,-0.23713332460261882,0.8195863031316548,-8.367825960842312
0.01869478055369109,-0.06201720532029867,0.6087987850885838,-11.639057988561142
0.011887236121110617,-0.17721591440960766,0.7605845490470529,-6.178853302038878
0.0014459954258054495,-0.12204778301529587,0.3009106365032494,-17.072446767668403
0.001163588210940361,-0.24506975057534874,0.5644044701009988,-18.265734404627487
0.012171924167312682,-0.054065863024443384,0.8614492933265865,-6.178853302038878
0.018394998208619655,-0.16897958885878323,0.3454569863621145,-6.178853302038878
0.010420353658497333,-0.13026743919588624,0.7185757422354071,-19.359723579635524
0.006365656693466008,-0.16051090188324452,0.9113762167748063,-9.493364714572749
