number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
38,0.5,2026-02-24 05:00:51.072386,2026-02-24 05:01:11.734441,0 days 00:00:20.662055,0.0903017076505894,2,128,40,0.000429731224742744,512,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
39,0.5,2026-02-24 05:01:11.734482,2026-02-24 05:01:37.437245,0 days 00:00:25.702763,0.043041519119793675,3,64,60,0.00032280384746662236,64,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
40,0.5,2026-02-24 05:01:37.437284,2026-02-24 05:02:13.506502,0 days 00:00:36.069218,0.11292895571813097,5,32,30,0.00023446218701193803,128,4,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
41,0.5,2026-02-24 05:02:13.506549,2026-02-24 05:02:39.226350,0 days 00:00:25.719801,0.05140288755333519,3,128,110,0.00017759816712683662,128,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
46,0.5,2026-02-24 05:04:12.014174,2026-02-24 05:04:48.595504,0 days 00:00:36.581330,0.013485758970765024,5,128,90,0.00020405427500291338,256,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
47,0.5,2026-02-24 05:04:48.595546,2026-02-24 05:05:19.492486,0 days 00:00:30.896940,0.1660963605401803,4,64,20,0.000960697800314702,512,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
44,0.5,2026-02-24 05:03:25.513580,2026-02-24 05:03:51.350564,0 days 00:00:25.836984,0.059254366454988196,3,64,100,0.00016325022251600235,32,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
45,0.5,2026-02-24 05:03:51.350604,2026-02-24 05:04:12.014133,0 days 00:00:20.663529,0.040232328024087535,2,64,80,0.00028056054165204885,128,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
48,0.5,2026-02-24 05:05:19.492527,2026-02-24 05:05:40.105971,0 days 00:00:20.613444,0.1314592765036999,2,32,40,0.00024821370650778354,128,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
49,0.5,2026-02-24 05:05:40.106021,2026-02-24 05:05:55.353012,0 days 00:00:15.246991,0.11096055887617051,1,128,130,0.0005320351585396987,256,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.40849364905389035,2026-02-24 04:45:13.114640,2026-02-24 04:45:29.248060,0 days 00:00:16.133420,0.09284139527419545,1,128,110,0.0006994576040590025,64,4,8,2,"[1.0, 0.5, 0.5, 0.5]",COMPLETE
13,-0.039578098794424976,2026-02-24 04:49:50.567656,2026-02-24 04:50:16.325604,0 days 00:00:25.757948,0.0011157157159214781,3,64,50,0.000997144963543031,512,8,8,8,"[0.5, 1.0, 0.0, 0.0]",COMPLETE
