date,pred_momentum,signal,trade_return,portfolio_value
2024-01-02,0.0033331960439682007,1,0.0,9995.0
2024-01-03,0.005894087720662355,1,0.0,9995.0
2024-01-04,0.000509556382894516,0,-0.012539486740084194,9864.732996117842
2024-01-05,0.0005045677535235882,0,0.0,9864.732996117842
2024-01-08,-0.005855107679963112,-1,0.0,9859.800629619784
2024-01-09,-0.005163269583135843,-1,0.0,9859.800629619784
2024-01-10,-0.0034228749573230743,-1,0.0,9859.800629619784
2024-01-11,-0.0016671381890773773,-1,0.0,9859.800629619784
2024-01-12,-0.0009205191163346171,-1,0.0,9859.800629619784
2024-01-16,-0.0016218964010477066,-1,0.0,9859.800629619784
2024-01-17,0.002158926334232092,1,0.00674205827599517,9921.312842064346
2024-01-18,-0.0028074122965335846,-1,0.013649355660741035,10051.704003482328
2024-01-19,-3.054644912481308e-05,0,-0.011778353699742538,9928.344822704974
2024-01-22,-6.886478513479233e-05,0,0.0,9928.344822704974
2024-01-23,0.003224163083359599,1,0.0,9923.380650293622
2024-01-24,0.008611573837697506,1,0.0,9923.380650293622
2024-01-25,0.006283164955675602,1,0.0,9923.380650293622
2024-01-26,0.011601364240050316,1,0.0,9923.380650293622
2024-01-29,0.005747385323047638,1,0.0,9923.380650293622
2024-01-30,0.004728756844997406,1,0.0,9923.380650293622
2024-01-31,0.010666288435459137,1,0.0,9923.380650293622
2024-02-01,0.0013998989015817642,1,0.0,9923.380650293622
2024-02-02,0.00017337501049041748,0,-0.04897144501326264,9432.699651251878
2024-02-05,-0.005013678222894669,-1,0.0,9427.983301426253
2024-02-06,-0.006106013432145119,-1,0.0,9427.983301426253
2024-02-07,0.0003180439816787839,0,-0.013646524052645739,9294.67443848513
2024-02-08,-0.0026221107691526413,-1,0.0,9290.027101265889
2024-02-09,-0.0008582803420722485,-1,0.0,9290.027101265889
2024-02-12,-0.004310383927077055,-1,0.0,9290.027101265889
2024-02-13,-0.0030280230566859245,-1,0.0,9290.027101265889
2024-02-14,-0.0004328484646975994,0,0.023853855001708134,9506.874245671075
2024-02-15,0.0010521253570914268,1,0.0,9502.12080854824
2024-02-16,-0.0002497537061572075,0,-0.006051688046192059,9439.894629168857
2024-02-20,0.0012800786644220352,1,0.0,9435.174681854272
2024-02-21,0.002832071390002966,1,0.0,9435.174681854272
2024-02-22,0.0002981126308441162,0,0.013356066343700691,9556.41090511909
2024-02-23,0.001490747556090355,1,0.0,9551.63269966653
2024-02-26,0.002204857300966978,1,0.0,9551.63269966653
2024-02-27,-0.005210456438362598,-1,0.0021401891567630754,9567.288962899542
2024-02-28,0.004608969669789076,1,0.005972255606252884,9619.615044415837
2024-02-29,0.0022582723759114742,1,0.0,9619.615044415837
2024-03-01,0.0008203480392694473,1,0.0,9619.615044415837
2024-03-04,0.0043906569480896,1,0.0,9619.615044415837
2024-03-05,0.006349988281726837,1,0.0,9619.615044415837
2024-03-06,0.005428102798759937,1,0.0,9619.615044415837
2024-03-07,0.000978856347501278,1,0.0,9619.615044415837
2024-03-08,-0.00484105758368969,-1,-0.05814530447468987,9055.749458929606
2024-03-11,-0.008982340805232525,-1,0.0,9055.749458929606
2024-03-12,-0.007505818270146847,-1,0.0,9055.749458929606
2024-03-13,-0.006227474194020033,-1,0.0,9055.749458929606
2024-03-14,-0.009586951695382595,-1,0.0,9055.749458929606
2024-03-15,-0.006709659472107887,-1,0.0,9055.749458929606
2024-03-18,-0.004685280378907919,-1,0.0,9055.749458929606
2024-03-19,-0.008569639176130295,-1,0.0,9055.749458929606
2024-03-20,-0.004515702836215496,-1,0.0,9055.749458929606
2024-03-21,0.004747357219457626,1,0.00907830506971127,9133.391334995065
2024-03-22,0.0034746122546494007,1,0.0,9133.391334995065
2024-03-25,0.0025044502690434456,1,0.0,9133.391334995065
2024-03-26,0.0014511491172015667,1,0.0,9133.391334995065
2024-03-27,-0.005810832604765892,-1,0.009024218731380254,9211.205149633273
2024-03-28,-0.0024074027314782143,-1,0.0,9211.205149633273
2024-04-01,-0.002304739784449339,-1,0.0,9211.205149633273
2024-04-02,0.0013086749240756035,1,0.016943375385883423,9362.590419211772
2024-04-03,-0.0022119414061307907,-1,0.005095092390303482,9405.588535569022
2024-04-04,-0.003056781366467476,-1,0.0,9405.588535569022
2024-04-05,-0.006435076240450144,-1,0.0,9405.588535569022
2024-04-08,-0.00010957056656479836,0,0.010804868039610314,9502.46107119145
2024-04-09,-0.0024184584617614746,-1,0.0,9497.709840655854
2024-04-10,0.0009170807898044586,1,0.006042679229977235,9550.323903915016
2024-04-11,-0.012629438191652298,-1,0.03980038668168916,9925.465272982101
2024-04-12,-0.005821816623210907,-1,0.0,9925.465272982101
2024-04-15,-0.005742324516177177,-1,0.0,9925.465272982101
2024-04-16,-0.0008630547672510147,-1,0.0,9925.465272982101
2024-04-17,0.0020060408860445023,1,0.035923433788480286,10276.881056502165
2024-04-18,-0.00042913109064102173,0,-0.005891837769185534,10211.223174873767
2024-04-19,0.0013347296044230461,1,0.0,10206.11756328633
2024-04-22,-0.002139398828148842,-1,0.001933253124516249,10220.735647668756
2024-04-23,-0.008251088671386242,-1,0.0,10220.735647668756
2024-04-24,-0.0053946226835250854,-1,0.0,10220.735647668756
2024-04-25,-0.004371982999145985,-1,0.0,10220.735647668756
2024-04-26,-0.0005440530367195606,0,-0.02388884596058803,9971.585781143618
2024-04-29,-0.011969150975346565,-1,0.0,9966.599988253047
2024-04-30,0.003091588616371155,1,0.017308024971488315,10134.032598655702
2024-05-01,-0.0013827057555317879,-1,-0.0016511308896896668,10112.24133440274
2024-05-02,-0.013010280206799507,-1,0.0,10112.24133440274
2024-05-03,-0.017876047641038895,-1,0.0,10112.24133440274
2024-05-06,-0.0013095783069729805,-1,0.0,10112.24133440274
2024-05-07,0.0002722525969147682,0,-0.05733002323940248,9527.740050547136
2024-05-08,0.0008379926439374685,1,0.0,9522.976180521862
2024-05-09,0.0020573604851961136,1,0.0,9522.976180521862
2024-05-10,0.002912326715886593,1,0.0,9522.976180521862
2024-05-13,-0.002139696851372719,-1,0.021760828176610222,9725.338926901693
2024-05-14,0.0014463099651038647,1,0.0004266536899278218,9724.623534501334
2024-05-15,-0.00377822108566761,-1,0.009632257587778015,9813.384466523155
2024-05-16,0.0016378099098801613,1,0.003307633111644071,9840.920620150962
2024-05-17,0.00082588498480618,1,0.0,9840.920620150962
2024-05-20,-0.0050764852203428745,-1,0.008073321604195775,9915.409352430202
2024-05-21,0.0023112124763429165,1,-0.00659380286656676,9845.104083270056
2024-05-22,0.003772089257836342,1,0.0,9845.104083270056
2024-05-23,0.005248090252280235,1,0.0,9845.104083270056
2024-05-24,-0.009316766634583473,-1,-0.011910436729419665,9722.98067169472
2024-05-28,0.00023054363555274904,0,0.00793686521471657,9795.25058344187
2024-05-29,-5.391251761466265e-05,0,0.0,9795.25058344187
2024-05-30,-0.000565588939934969,-1,0.0,9790.35295815015
2024-05-31,0.0008352170698344707,1,-0.0042310778743416076,9744.054747760743
2024-06-03,-0.0013651391491293907,-1,0.005857982988941322,9796.234687089081
2024-06-04,-0.001247402629815042,-1,0.0,9796.234687089081
2024-06-05,0.003231827635318041,1,-0.006319376949688577,9729.461423120045
2024-06-06,0.0020034154877066612,1,0.0,9729.461423120045
2024-06-07,0.0003972090780735016,0,0.006132144062180438,9784.229320272938
2024-06-10,0.009530730545520782,1,0.0,9779.337205612803
2024-06-11,-0.015189088881015778,-1,0.06971340266200272,10455.857533956196
2024-06-12,-0.012165140360593796,-1,0.0,10455.857533956196
2024-06-13,0.003850220702588558,1,-0.03312927540669842,10104.40781882551
2024-06-14,0.007682797499001026,1,0.0,10104.40781882551
2024-06-17,0.0016070269048213959,1,0.0,10104.40781882551
2024-06-18,0.008685285225510597,1,0.0,10104.40781882551
2024-06-20,0.010640295222401619,1,0.0,10104.40781882551
2024-06-21,0.009871778078377247,1,0.0,10104.40781882551
2024-06-24,0.008487936109304428,1,0.0,10104.40781882551
