epoch,ptl/val_loss,step,train_loss_epoch,train_loss_step,valid_loss
0,,0,0.13867604732513428,,
1,,1,0.1067989245057106,,
2,,2,0.09082401543855667,,
3,,3,0.09051897376775742,,
4,,4,0.08967897295951843,,
5,,5,0.10051558911800385,,
6,,6,0.09508164972066879,,
7,,7,0.0887608751654625,,
8,,8,0.09331469982862473,,
9,,9,0.0871831402182579,,
10,,10,0.09204089641571045,,
11,,11,0.08836584538221359,,
12,,12,0.0742427408695221,,
13,,13,0.07589183747768402,,
14,,14,0.07718948274850845,,
15,,15,0.07188808917999268,,
16,,16,0.07229506224393845,,
17,,17,0.06748613715171814,,
18,,18,0.059130676090717316,,
19,,19,0.0630662590265274,,
20,,20,0.06088191643357277,,
21,,21,0.05663195252418518,,
22,,22,0.05668316408991814,,
23,,23,0.059253815561532974,,
24,,24,0.05223877727985382,,
25,,25,0.048484716564416885,,
26,,26,0.05212673172354698,,
27,,27,0.05612814426422119,,
28,,28,0.054860588163137436,,
29,,29,0.04684329405426979,,
30,,30,0.04641629010438919,,
31,,31,0.04639888554811478,,
32,,32,0.047074735164642334,,
33,,33,0.0466359443962574,,
34,,34,0.04517881199717522,,
35,,35,0.04321053624153137,,
36,,36,0.04990563541650772,,
37,,37,0.04987914115190506,,
38,,38,0.041190143674612045,,
39,,39,0.04787081852555275,,
40,,40,0.04946765676140785,,
41,,41,0.04846333712339401,,
42,,42,0.051199618726968765,,
43,,43,0.03955203294754028,,
44,,44,0.04289773106575012,,
45,,45,0.045307572931051254,,
46,,46,0.04556411877274513,,
47,,47,0.042331524193286896,,
48,,48,0.04433272406458855,,
49,,49,,0.04351159557700157,
49,0.05680476129055023,49,,,0.05680476129055023
49,,49,0.04351159557700157,,
50,,50,0.04367412254214287,,
51,,51,0.04643356055021286,,
52,,52,0.044659484177827835,,
53,,53,0.04295540601015091,,
54,,54,0.04816121980547905,,
55,,55,0.044257912784814835,,
56,,56,0.04477887600660324,,
57,,57,0.04051895812153816,,
58,,58,0.04322104901075363,,
59,,59,0.042152851819992065,,
60,,60,0.04347088187932968,,
61,,61,0.04465484991669655,,
62,,62,0.04614832624793053,,
63,,63,0.041319482028484344,,
64,,64,0.04392203688621521,,
65,,65,0.04564465582370758,,
66,,66,0.04331531003117561,,
67,,67,0.04311937838792801,,
68,,68,0.042394526302814484,,
69,,69,0.04386676847934723,,
70,,70,0.043040547519922256,,
71,,71,0.04793578386306763,,
72,,72,0.048470403999090195,,
73,,73,0.04861437529325485,,
74,,74,0.04496730491518974,,
75,,75,0.04459653049707413,,
76,,76,0.03564048185944557,,
77,,77,0.04336639493703842,,
78,,78,0.04780381917953491,,
79,,79,0.04162238538265228,,
80,,80,0.045200493186712265,,
81,,81,0.044420160353183746,,
82,,82,0.04309861361980438,,
83,,83,0.039945993572473526,,
84,,84,0.04458848759531975,,
85,,85,0.038406651467084885,,
86,,86,0.04618605598807335,,
87,,87,0.045805200934410095,,
88,,88,0.048318810760974884,,
89,,89,0.048938553780317307,,
90,,90,0.041876934468746185,,
91,,91,0.04231780767440796,,
92,,92,0.04182162508368492,,
93,,93,0.04188992828130722,,
94,,94,0.04001642391085625,,
95,,95,0.04866572469472885,,
96,,96,0.04047657921910286,,
97,,97,0.041518568992614746,,
98,,98,0.04219358414411545,,
99,,99,,0.04446372762322426,
99,0.05428645387291908,99,,,0.05428645387291908
99,,99,0.04446372762322426,,
100,,100,0.04354299232363701,,
101,,101,0.04700823873281479,,
102,,102,0.04958281293511391,,
103,,103,0.04450073465704918,,
104,,104,0.042544085532426834,,
105,,105,0.043753985315561295,,
106,,106,0.04183293133974075,,
107,,107,0.04461177438497543,,
108,,108,0.03983429819345474,,
109,,109,0.04314282909035683,,
110,,110,0.0448833703994751,,
111,,111,0.04451167210936546,,
112,,112,0.041389577090740204,,
113,,113,0.04038213938474655,,
114,,114,0.04288870096206665,,
115,,115,0.04496292769908905,,
116,,116,0.039015740156173706,,
117,,117,0.042970724403858185,,
118,,118,0.04304514452815056,,
119,,119,0.044556234031915665,,
120,,120,0.04455988481640816,,
121,,121,0.04481988027691841,,
122,,122,0.0454365611076355,,
123,,123,0.047874558717012405,,
124,,124,0.040330950170755386,,
125,,125,0.04450460895895958,,
126,,126,0.04353812336921692,,
127,,127,0.04753924906253815,,
128,,128,0.04869615286588669,,
129,,129,0.04269580915570259,,
130,,130,0.04319671168923378,,
131,,131,0.04195690527558327,,
132,,132,0.039639391005039215,,
133,,133,0.04290095716714859,,
134,,134,0.043876949697732925,,
135,,135,0.04261472821235657,,
136,,136,0.0387723408639431,,
137,,137,0.03955012559890747,,
138,,138,0.04029898717999458,,
139,,139,0.044474005699157715,,
