date,pred_momentum,signal,in_market,trade_return,portfolio_value,position_return
2025-01-03,-0.00020614825189113617,-1,0,0.0,9995.0,0
2025-01-06,-0.0028116262207428613,-1,-1,0.0,10455.642865311976,0.04608733019629575
2025-01-07,0.0002686642110347748,1,-1,0.0,10383.271776586524,0.03936628410118233
2025-01-08,-0.0007370097252229849,-1,0,0.0,10378.080140698232,0
2025-01-10,-0.004116857424378395,-1,-1,0.0,10647.29800886657,0.025941008791460822
2025-01-13,0.00041925092227756977,1,-1,0.0,10615.59305620554,0.02339771556677845
2025-01-14,0.0028232259986301265,1,0,0.0,10610.285259677437,0
2025-01-15,0.0016164363672335942,1,1,0.0,10785.300110804114,0.01649482995445861
2025-01-16,-0.0009486646546671788,-1,1,0.0,10752.575454288868,0.013917549642927615
2025-01-17,-0.02005310853322347,-1,0,0.0,10747.199166561724,0
2025-01-21,-0.007405160926282406,-1,-1,0.0,10874.038665247652,0.011802098083430699
2025-01-22,-0.0038475296460092068,-1,-1,0.0,10830.132649145286,0.007716753109181637
2025-01-23,-0.0051417577390869456,-1,-1,0.0,10971.607796694732,0.020880661710561802
2025-01-24,-0.006266678993900617,-1,-1,0.0,11332.612094267814,0.054471208603587944
2025-01-27,-0.0053154776493708296,-1,-1,0.0,11596.047260393816,0.07898319186948298
2025-01-28,-0.0035774564991394677,-1,-1,0.0,11835.091539390345,0.10122566409799426
2025-01-29,0.004418676408628623,1,-1,0.0,11853.553615329514,0.10349526171497736
2025-01-30,0.0005878669520219167,1,0,0.0,11847.62683852185,0
2025-01-31,-0.0012580901384353638,-2,1,0.0,11446.979553476027,-0.033333336496432164
2025-02-03,0.003749199017571906,1,0,0.0,11441.25606369929,0
2025-02-04,0.0004880607593804598,1,1,0.0,11555.069923331555,0.009947671741512124
2025-02-05,-0.0012611523270606995,-1,1,0.0,11764.830495320837,0.02879577099873466
2025-02-06,-0.0038495191062490144,-1,0,0.0,11758.948080073178,0
2025-02-07,-0.002390954022606214,-1,-1,0.0,11910.872470877506,0.01291989638612148
2025-02-10,-0.0030473023653030396,-2,-1,0.0,11497.963199629685,-0.02170542987152356
2025-02-11,-0.00852936382095019,-1,0,0.0,11492.21421802987,0
2025-02-12,-0.0031533539295196533,-2,-1,0.0,11225.174472382587,-0.02274795315801577
2025-02-13,-0.012705544630686441,-1,0,0.0,11219.561885146397,0
2025-02-14,-0.019967176641027134,-1,-1,0.0,11569.597574268744,0.03119869498520787
2025-02-18,-0.0317953477303187,-2,-1,0.0,9819.11383098997,-0.12438418322573047
2025-02-19,-0.02952503164609273,-1,0,0.0,9814.204274074476,0
2025-02-20,-0.008760185291369757,-2,-1,0.0,9605.895984720513,-0.02073555155397054
2025-02-21,-0.010049957782030106,-1,0,0.0,9601.093036728154,0
2025-02-24,-0.0032146330922842026,-1,-1,0.0,9710.595864171886,0.011405245946981144
2025-02-25,-0.014101387312014898,-1,-1,0.0,10211.182669120028,0.06354376840824565
2025-02-26,0.017831385756532352,1,-1,0.0,9998.906333707217,0.04195514506338535
2025-02-27,-0.003843174005548159,-1,0,0.0,9993.906880540364,0
2025-02-28,0.0045173317193984985,-2,-1,0.0,9680.824924402841,-0.030842705054473778
2025-03-03,-0.009327377503116926,-1,0,0.0,9675.98451194064,0
2025-03-04,0.0010279106597105663,1,-1,0.0,10190.316724012664,0.05368238432447198
2025-03-05,0.006525537619988124,1,0,0.0,10185.221565650658,0
2025-03-06,0.004908455225328605,1,1,0.0,10431.557013803416,0.024185575793806764
2025-03-07,0.005331155378371477,1,1,0.0,10376.2568866499,0.018756128157633983
2025-03-10,0.010155117760101954,-2,1,0.0,10014.312481991632,-0.016288248764954116
2025-03-11,0.008514842484146357,1,0,0.0,10009.305325750636,0
2025-03-12,0.006283650174736977,1,1,0.0,9956.345746792398,-0.005291034415944002
2025-03-13,-0.009058341383934021,-1,1,0.0,11404.613907822017,0.1399711264677593
2025-03-14,0.006337934173643589,1,0,0.0,11398.911600868107,0
2025-03-17,-0.002863032122453054,-1,1,0.0,11985.734036731421,0.0520065705895121
2025-03-18,-0.004687552185108264,-1,0,0.0,11979.741169713056,0
2025-03-19,-0.014298908412456512,-1,-1,0.0,12355.009588661738,0.031325252660502435
2025-03-20,-0.001258541364222765,-1,-1,0.0,12431.988690593416,0.03775102604250967
2025-03-21,0.005697875904540221,1,-1,0.0,12281.510079876993,0.025702787126637455
2025-03-24,-0.00447288384505858,-1,0,0.0,12275.369324837055,0
2025-03-25,0.004045275583242376,1,-1,0.0,12259.083160186427,-0.0008271487804485567
2025-03-26,-0.0098570566624403,-1,0,0.0,12252.953618606334,0
2025-03-27,-0.001762479233245055,-2,-1,0.0,12073.299796860783,-0.014169167485349696
2025-03-28,-0.01352184514204661,-1,0,0.0,12067.263146962354,0
2025-03-31,0.010775559154960016,-2,-1,0.0,11883.38300202273,-0.014745305454906502
2025-04-01,-0.0013613334546486537,-1,0,0.0,11877.441310521719,0
2025-04-02,0.007769111078232527,1,-1,0.0,11822.693221464157,-0.004111473508329598
2025-04-03,-0.0022658094142874083,-1,0,0.0,11816.781874853425,0
2025-04-04,0.0011991361776987712,1,-1,0.0,12817.791441635716,0.08525347080306406
2025-04-07,0.014980238241453966,1,0,0.0,12811.3825459149,0
2025-04-08,0.007444995145003001,-2,1,0.0,11572.992313506425,-0.09621138367687954
2025-04-09,-0.003858432173728943,-1,0,0.0,11567.205817349673,0
2025-04-10,-0.005748358865578969,-1,-1,0.0,12014.680563719974,0.038684774303845426
2025-04-11,0.009342686428378025,1,-1,0.0,12086.941696823218,0.04545457060860653
2025-04-14,-0.0008284077048301697,-1,0,0.0,12080.898225974806,0
2025-04-15,0.0034021809697151184,1,-1,0.0,12284.075829756555,0.017326750903488352
2025-04-16,0.00900165985027949,1,0,0.0,12277.933791841679,0
2025-04-17,-5.5432009200255074e-05,0,1,0.0,12290.919740980251,0.0010576656755715943
2025-04-21,-0.00045209874709447223,-1,1,0.0,12226.367966160818,-0.003701728999950173
2025-04-22,-0.007034383714199066,-1,0,0.0,12220.254782177739,0
2025-04-23,-0.012177540610233942,-1,-1,0.0,12296.925772461665,0.006274090978507623
2025-04-24,-0.0030639059841632843,-2,-1,0.0,11760.24034556615,-0.03716218548653087
2025-04-25,-0.0004011491934458415,-1,0,0.0,11754.360225393368,0
2025-04-28,-0.0026083669314781823,-2,-1,0.0,11520.754366064122,-0.019383666669036632
2025-04-29,-0.006629981721440951,-1,0,0.0,11514.993988881091,0
2025-04-30,-0.0004772236570715904,-2,-1,0.0,11281.503495043547,-0.0197869769209837
2025-05-01,-0.0008628910096983115,-1,0,0.0,11275.862743296026,0
2025-05-02,-0.008501283824443817,-2,-1,0.0,11069.963816600784,-0.017769032886700575
2025-05-05,0.0016051502898335457,1,0,0.0,11064.428834692484,0
2025-05-06,0.008463287726044655,1,1,0.0,11075.53795320352,0.001004039040515551
2025-05-07,0.011524734708170096,1,1,0.0,11281.05134853845,0.01957828253788821
2025-05-08,0.0006392275293668112,1,1,0.0,11664.30746177842,0.05421686343221065
2025-05-09,0.0018581878393888474,1,1,0.0,11897.593653390944,0.07530120453087219
2025-05-12,-0.003896773482362429,-1,1,0.0,12313.570756684694,0.11345382631656606
2025-05-13,-0.008820706357558569,-1,0,0.0,12307.413971306352,0
2025-05-14,-0.011283006519079208,-1,-1,0.0,12764.467773671047,0.037136461276940445
2025-05-15,0.001660013144525389,1,-1,0.0,12741.574453187151,0.03579423403824443
2025-05-16,-0.0023071339819580317,-1,0,0.0,12735.203665960558,0
2025-05-19,-2.8313448031743366e-05,0,-1,0.0,12614.947475110283,-0.009442816464074666
2025-05-20,-0.006059498370935519,-1,-1,0.0,12681.087978677295,-0.00424929892781433
2025-05-21,-0.006299203882614772,-1,-1,0.0,13029.832881803342,0.023135021910194318
2025-05-22,-0.0006089044424394766,-1,-1,0.0,13114.0134769434,0.02974509249470031
2025-05-23,0.002170845245321592,1,-1,0.0,13407.948346520367,0.05335226873623296
2025-05-27,-0.0014254562556743622,-1,0,0.0,13401.244372347108,0
2025-05-28,0.0006812373176217079,1,-1,0.0,13524.776781805918,0.009722841932814594
2025-05-29,0.004013670530791084,1,0,0.0,13518.014393415016,0
2025-05-30,0.0010444025198618572,-2,1,0.0,13037.760587768587,-0.03504447106615233
2025-06-02,-0.002234914960960547,-1,0,0.0,13031.241707474705,0
2025-06-03,-0.005879342555999756,-2,-1,0.0,12668.606389847895,-0.027341818507713608
2025-06-04,-0.00419145030900836,-1,0,0.0,12662.272086652973,0
2025-06-05,0.0016384168217579524,1,-1,0.0,12830.764437353002,0.01381355107657454
2025-06-06,-0.0011859814791629713,-1,0,0.0,12824.349055134326,0
2025-06-09,-0.0057268838087717695,-2,-1,0.0,12653.11657220301,-0.012858567641499192
2025-06-10,-0.01655564457178116,-1,0,0.0,12646.790013916909,0
2025-06-11,0.00466632346312205,1,-1,0.0,13278.87422517242,0.05050506642748621
2025-06-12,-0.003826054589202007,-1,0,0.0,13272.234788059834,0
2025-06-13,0.0021556541323661804,1,-1,0.0,13389.576577280624,0.00934582069703132
2025-06-16,-0.0011159883191188176,-1,0,0.0,13382.881788991985,0
2025-06-17,-0.00197304862861832,-1,-1,0.0,13272.60108042617,-0.00824043059668395
2025-06-18,-0.0015462314089139302,-2,-1,0.0,12818.578504592448,-0.041686895072059964
2025-06-20,-0.00357621597747008,-1,0,0.0,12812.169215340153,0
2025-06-23,-0.004832657985389233,-1,-1,0.0,12739.199538998922,-0.005695341289581332
