epoch,ptl/val_loss,step,train_loss_epoch,train_loss_step,valid_loss
0,,0,0.1495547890663147,,
1,,1,0.13132405281066895,,
2,,2,0.11321749538183212,,
3,,3,0.09593875706195831,,
4,,4,0.09111684560775757,,
5,,5,0.08586125820875168,,
6,,6,0.10988189280033112,,
7,,7,0.09432198107242584,,
8,,8,0.09569055587053299,,
9,,9,0.09521862864494324,,
10,,10,0.0901051014661789,,
11,,11,0.09370172768831253,,
12,,12,0.08252627402544022,,
13,,13,0.08287473767995834,,
14,,14,0.0838293805718422,,
15,,15,0.07836873084306717,,
16,,16,0.08078573644161224,,
17,,17,0.07858014851808548,,
18,,18,0.07817904651165009,,
19,,19,0.06892931461334229,,
20,,20,0.06401484459638596,,
21,,21,0.06607139110565186,,
22,,22,0.05978647992014885,,
23,,23,0.06435498595237732,,
24,,24,0.060250796377658844,,
25,,25,0.04678034409880638,,
26,,26,0.052155751734972,,
27,,27,0.04855910688638687,,
28,,28,0.05465902388095856,,
29,,29,0.05260379612445831,,
30,,30,0.05185084789991379,,
31,,31,0.05005919560790062,,
32,,32,0.046785928308963776,,
33,,33,0.04541715979576111,,
34,,34,0.046485595405101776,,
35,,35,0.047490011900663376,,
36,,36,0.04099580645561218,,
37,,37,0.04582741856575012,,
38,,38,0.04760604351758957,,
39,,39,0.04517842456698418,,
40,,40,0.04304089769721031,,
41,,41,0.04382067546248436,,
42,,42,0.04091981053352356,,
43,,43,0.04519034922122955,,
44,,44,0.039641957730054855,,
45,,45,0.0482696034014225,,
46,,46,0.049536269158124924,,
47,,47,0.04426540434360504,,
48,,48,0.0402255654335022,,
49,,49,,0.04598322510719299,
49,0.04940585419535637,49,,,0.04940585419535637
49,,49,0.04598322510719299,,
50,,50,0.03868698328733444,,
51,,51,0.03988877683877945,,
52,,52,0.04698183014988899,,
53,,53,0.04265834391117096,,
54,,54,0.048999033868312836,,
55,,55,0.04388819634914398,,
56,,56,0.04337368905544281,,
57,,57,0.04498078674077988,,
58,,58,0.03630738705396652,,
59,,59,0.03928773105144501,,
60,,60,0.04465439170598984,,
61,,61,0.045023396611213684,,
62,,62,0.041920457035303116,,
63,,63,0.04623449593782425,,
64,,64,0.04714508727192879,,
65,,65,0.04309945926070213,,
66,,66,0.040578749030828476,,
67,,67,0.042304955422878265,,
68,,68,0.04129096493124962,,
69,,69,0.04005211591720581,,
70,,70,0.04522140696644783,,
71,,71,0.04426111280918121,,
72,,72,0.04062901437282562,,
73,,73,0.04279475286602974,,
74,,74,0.03895598277449608,,
75,,75,0.04814454913139343,,
76,,76,0.040629006922245026,,
77,,77,0.047819770872592926,,
78,,78,0.038834188133478165,,
79,,79,0.04561134800314903,,
80,,80,0.04227786511182785,,
81,,81,0.0423712395131588,,
82,,82,0.04234807938337326,,
83,,83,0.042052626609802246,,
84,,84,0.047268956899642944,,
85,,85,0.04133210703730583,,
86,,86,0.044192373752593994,,
87,,87,0.04257499426603317,,
88,,88,0.04344533383846283,,
89,,89,0.04325809329748154,,
90,,90,0.03807426616549492,,
91,,91,0.045541953295469284,,
92,,92,0.04925870522856712,,
93,,93,0.04296424612402916,,
94,,94,0.037866003811359406,,
95,,95,0.03951164707541466,,
96,,96,0.03662412613630295,,
97,,97,0.04274396225810051,,
98,,98,0.047494448721408844,,
99,,99,,0.03815203532576561,
99,0.04861374944448471,99,,,0.04861374944448471
99,,99,0.03815203532576561,,
100,,100,0.03923794999718666,,
101,,101,0.041993942111730576,,
102,,102,0.046261098235845566,,
103,,103,0.044486917555332184,,
104,,104,0.04205916449427605,,
105,,105,0.04208693280816078,,
106,,106,0.04880701005458832,,
107,,107,0.04184143617749214,,
108,,108,0.03807950019836426,,
109,,109,0.04827332869172096,,
110,,110,0.042201217263936996,,
111,,111,0.04242418333888054,,
112,,112,0.04177136346697807,,
113,,113,0.042596280574798584,,
114,,114,0.04291869327425957,,
115,,115,0.0400240533053875,,
116,,116,0.04126426577568054,,
117,,117,0.04038240760564804,,
118,,118,0.04011855646967888,,
119,,119,0.04147167503833771,,
120,,120,0.04414474591612816,,
121,,121,0.047910235822200775,,
122,,122,0.03857456520199776,,
123,,123,0.04182378575205803,,
124,,124,0.0434395894408226,,
125,,125,0.04243224114179611,,
126,,126,0.041788965463638306,,
127,,127,0.039797570556402206,,
128,,128,0.04418129473924637,,
129,,129,0.03625459223985672,,
130,,130,0.041588809341192245,,
131,,131,0.036241814494132996,,
132,,132,0.04078694432973862,,
133,,133,0.04112983122467995,,
134,,134,0.038356877863407135,,
135,,135,0.04165412113070488,,
136,,136,0.04440080747008324,,
137,,137,0.04784565418958664,,
138,,138,0.044668085873126984,,
139,,139,0.041060760617256165,,
140,,140,0.041668716818094254,,
141,,141,0.03700244054198265,,
142,,142,0.0493585467338562,,
143,,143,0.03969006985425949,,
144,,144,0.038763877004384995,,
145,,145,0.0408937931060791,,
146,,146,0.04494014382362366,,
147,,147,0.04550087824463844,,
148,,148,0.03676271811127663,,
149,,149,,0.043934669345617294,
149,0.04858784005045891,149,,,0.04858784005045891
149,,149,0.043934669345617294,,
150,,150,0.04160180687904358,,
151,,151,0.03935801610350609,,
152,,152,0.04099826142191887,,
153,,153,0.03945009782910347,,
154,,154,0.04637065902352333,,
155,,155,0.038768086582422256,,
156,,156,0.04494154825806618,,
157,,157,0.03964594006538391,,
158,,158,0.03978031501173973,,
159,,159,0.046642955392599106,,
160,,160,0.04020047187805176,,
161,,161,0.04049928858876228,,
162,,162,0.043815385550260544,,
163,,163,0.046279579401016235,,
164,,164,0.037533339112997055,,
165,,165,0.0450233519077301,,
166,,166,0.05006761848926544,,
167,,167,0.04660199210047722,,
168,,168,0.0398460291326046,,
169,,169,0.0418887622654438,,
170,,170,0.03629522770643234,,
171,,171,0.03917514160275459,,
172,,172,0.04132695123553276,,
173,,173,0.03851966932415962,,
174,,174,0.03525180369615555,,
175,,175,0.041127145290374756,,
176,,176,0.04945316165685654,,
177,,177,0.045047271996736526,,
178,,178,0.04211479425430298,,
179,,179,0.0461541973054409,,
180,,180,0.04122763127088547,,
181,,181,0.039799660444259644,,
182,,182,0.0458470843732357,,
183,,183,0.04195801913738251,,
184,,184,0.04461859539151192,,
185,,185,0.04376307502388954,,
186,,186,0.04361405968666077,,
187,,187,0.03923988714814186,,
188,,188,0.04501931741833687,,
189,,189,0.04183701053261757,,
190,,190,0.04411808028817177,,
191,,191,0.042468708008527756,,
192,,192,0.045861903578042984,,
193,,193,0.04463345557451248,,
194,,194,0.04139440506696701,,
195,,195,0.04089042916893959,,
196,,196,0.04137595742940903,,
197,,197,0.04346243664622307,,
198,,198,0.03906950727105141,,
199,,199,,0.041336800903081894,
199,0.04849662259221077,199,,,0.04849662259221077
199,,199,0.041336800903081894,,
200,,200,0.04626085236668587,,
201,,201,0.04241003468632698,,
202,,202,0.03942912071943283,,
203,,203,0.04079842567443848,,
204,,204,0.04249048978090286,,
205,,205,0.042663779109716415,,
206,,206,0.03628324344754219,,
207,,207,0.0418764129281044,,
208,,208,0.04397847503423691,,
209,,209,0.04279346019029617,,
210,,210,0.03813809156417847,,
211,,211,0.03883625566959381,,
212,,212,0.04018156975507736,,
213,,213,0.04067935422062874,,
214,,214,0.038660332560539246,,
215,,215,0.044783007353544235,,
216,,216,0.04302872717380524,,
217,,217,0.03843417018651962,,
218,,218,0.046352483332157135,,
219,,219,0.03778864070773125,,
220,,220,0.04114538058638573,,
221,,221,0.04138766601681709,,
222,,222,0.042803943157196045,,
223,,223,0.04374390468001366,,
224,,224,0.04045211523771286,,
225,,225,0.046899739652872086,,
226,,226,0.04166701063513756,,
227,,227,0.03926483914256096,,
228,,228,0.036581654101610184,,
229,,229,0.03350542113184929,,
230,,230,0.044199686497449875,,
231,,231,0.044896889477968216,,
232,,232,0.04172947257757187,,
233,,233,0.0420801043510437,,
234,,234,0.040550410747528076,,
235,,235,0.04794091358780861,,
236,,236,0.039970725774765015,,
237,,237,0.038574397563934326,,
238,,238,0.04029304161667824,,
239,,239,0.04126069322228432,,
240,,240,0.03930525854229927,,
241,,241,0.03891579061746597,,
242,,242,0.041387151926755905,,
243,,243,0.049629271030426025,,
244,,244,0.045102961361408234,,
245,,245,0.045151643455028534,,
246,,246,0.037469327449798584,,
247,,247,0.046151213347911835,,
248,,248,0.04105185717344284,,
249,,249,,0.03945350646972656,
249,0.04843827709555626,249,,,0.04843827709555626
249,,249,0.03945350646972656,,
250,,250,0.03886384889483452,,
