epoch,ptl/val_loss,step,train_loss_epoch,train_loss_step,valid_loss
0,,0,0.14388145506381989,,
1,,1,0.11431407928466797,,
2,,2,0.10900793969631195,,
3,,3,0.1108604446053505,,
4,,4,0.11775240302085876,,
5,,5,0.11401911824941635,,
6,,6,0.11446536332368851,,
7,,7,0.1035953164100647,,
8,,8,0.10129326581954956,,
9,,9,0.10375218093395233,,
10,,10,0.10607723891735077,,
11,,11,0.09125902503728867,,
12,,12,0.10140486806631088,,
13,,13,0.10665178298950195,,
14,,14,0.10196956992149353,,
15,,15,0.08747880905866623,,
16,,16,0.10876993834972382,,
17,,17,0.09185849875211716,,
18,,18,0.08988241106271744,,
19,,19,0.09904220700263977,,
20,,20,0.08055023103952408,,
21,,21,0.08584459871053696,,
22,,22,0.10365758091211319,,
23,,23,0.09646134823560715,,
24,,24,0.08268807083368301,,
25,,25,0.08702258765697479,,
26,,26,0.09161131829023361,,
27,,27,0.08608819544315338,,
28,,28,0.08621389418840408,,
29,,29,0.08561146259307861,,
30,,30,0.07865205407142639,,
31,,31,0.07845081388950348,,
32,,32,0.0784640833735466,,
33,,33,0.07484019547700882,,
34,,34,0.08103803545236588,,
35,,35,0.07468536496162415,,
36,,36,0.07072468847036362,,
37,,37,0.06525824218988419,,
38,,38,0.06420264393091202,,
39,,39,0.06834172457456589,,
40,,40,0.06454817205667496,,
41,,41,0.06626547873020172,,
42,,42,0.06431940943002701,,
43,,43,0.07101050019264221,,
44,,44,0.06757421791553497,,
45,,45,0.06780800968408585,,
46,,46,0.0561581626534462,,
47,,47,0.06201448664069176,,
48,,48,0.05678911134600639,,
49,,49,,0.06155240535736084,
49,0.08857010304927826,49,,,0.08857010304927826
49,,49,0.06155240535736084,,
50,,50,0.059535086154937744,,
51,,51,0.057951245456933975,,
52,,52,0.055595509707927704,,
53,,53,0.052383165806531906,,
54,,54,0.05320418253540993,,
55,,55,0.05041986703872681,,
56,,56,0.05543127655982971,,
57,,57,0.051406603306531906,,
58,,58,0.05572853609919548,,
59,,59,0.05309830233454704,,
60,,60,0.056565023958683014,,
61,,61,0.04784734547138214,,
62,,62,0.04822545498609543,,
63,,63,0.0443708673119545,,
64,,64,0.05107136443257332,,
65,,65,0.05400211364030838,,
66,,66,0.04946442320942879,,
67,,67,0.04808337613940239,,
68,,68,0.049551017582416534,,
69,,69,0.053519461303949356,,
70,,70,0.04811494052410126,,
71,,71,0.052817877382040024,,
72,,72,0.04850860685110092,,
73,,73,0.049256738275289536,,
74,,74,0.051009923219680786,,
75,,75,0.04715436324477196,,
76,,76,0.05050801858305931,,
77,,77,0.04384366422891617,,
78,,78,0.05247289687395096,,
79,,79,0.059083301573991776,,
80,,80,0.05455896630883217,,
81,,81,0.04632040858268738,,
82,,82,0.04794447496533394,,
83,,83,0.04876207187771797,,
84,,84,0.052878402173519135,,
85,,85,0.048872388899326324,,
86,,86,0.042923230677843094,,
87,,87,0.046867020428180695,,
88,,88,0.04432052746415138,,
89,,89,0.04290689527988434,,
90,,90,0.042022787034511566,,
91,,91,0.04715048894286156,,
92,,92,0.04176397621631622,,
93,,93,0.03863012045621872,,
94,,94,0.049575503915548325,,
95,,95,0.04884100705385208,,
96,,96,0.053473103791475296,,
97,,97,0.04384703189134598,,
98,,98,0.04674568399786949,,
99,,99,,0.04415251314640045,
99,0.05517278239130974,99,,,0.05517278239130974
99,,99,0.04415251314640045,,
100,,100,0.047488585114479065,,
101,,101,0.04895802214741707,,
102,,102,0.04405861720442772,,
103,,103,0.04928046464920044,,
104,,104,0.044574152678251266,,
105,,105,0.04720572754740715,,
106,,106,0.046097416430711746,,
107,,107,0.040018998086452484,,
108,,108,0.04776481166481972,,
109,,109,0.04500868543982506,,
110,,110,0.04417957365512848,,
111,,111,0.0480070486664772,,
112,,112,0.05092046409845352,,
113,,113,0.046641454100608826,,
114,,114,0.04437090456485748,,
115,,115,0.0503917932510376,,
116,,116,0.04635559394955635,,
117,,117,0.045735787600278854,,
118,,118,0.04380052164196968,,
119,,119,0.04697246477007866,,
120,,120,0.049369633197784424,,
121,,121,0.042278971523046494,,
122,,122,0.04288904368877411,,
123,,123,0.03950385004281998,,
124,,124,0.043399788439273834,,
125,,125,0.044252533465623856,,
126,,126,0.044859740883111954,,
127,,127,0.04495174065232277,,
128,,128,0.04179172217845917,,
129,,129,0.04418310523033142,,
130,,130,0.04512900114059448,,
131,,131,0.04749268665909767,,
132,,132,0.041512567549943924,,
133,,133,0.051557037979364395,,
134,,134,0.05164724215865135,,
135,,135,0.045919571071863174,,
136,,136,0.04592978209257126,,
137,,137,0.04212253913283348,,
138,,138,0.04130266606807709,,
139,,139,0.04357841983437538,,
140,,140,0.04943870007991791,,
141,,141,0.04060720279812813,,
142,,142,0.04711214825510979,,
143,,143,0.04160580039024353,,
144,,144,0.04570542648434639,,
145,,145,0.038764338940382004,,
146,,146,0.045078735798597336,,
147,,147,0.044717978686094284,,
148,,148,0.046046577394008636,,
149,,149,,0.04068545624613762,
149,0.05417793244123459,149,,,0.05417793244123459
149,,149,0.04068545624613762,,
150,,150,0.045389316976070404,,
151,,151,0.04363448545336723,,
152,,152,0.046961765736341476,,
153,,153,0.04709966853260994,,
154,,154,0.04528477415442467,,
155,,155,0.04508386552333832,,
156,,156,0.04574721306562424,,
157,,157,0.04352967441082001,,
158,,158,0.04508720710873604,,
159,,159,0.04768107458949089,,
160,,160,0.041762471199035645,,
161,,161,0.045530591160058975,,
162,,162,0.049109939485788345,,
163,,163,0.044984422624111176,,
164,,164,0.04661323502659798,,
165,,165,0.04706726595759392,,
166,,166,0.04374472051858902,,
167,,167,0.04264599457383156,,
168,,168,0.044366590678691864,,
169,,169,0.04336923733353615,,
170,,170,0.03876633569598198,,
171,,171,0.04490416869521141,,
172,,172,0.04111309349536896,,
173,,173,0.051873140037059784,,
174,,174,0.037779469043016434,,
175,,175,0.04208219051361084,,
176,,176,0.04151291772723198,,
177,,177,0.03855080157518387,,
178,,178,0.04394371807575226,,
179,,179,0.04230539873242378,,
180,,180,0.04557701572775841,,
181,,181,0.04800688102841377,,
182,,182,0.047133464366197586,,
183,,183,0.04534967988729477,,
184,,184,0.039878472685813904,,
185,,185,0.04418255761265755,,
186,,186,0.042260438203811646,,
187,,187,0.04006463289260864,,
188,,188,0.04275033250451088,,
189,,189,0.038317352533340454,,
190,,190,0.04413595050573349,,
191,,191,0.043932702392339706,,
192,,192,0.043771177530288696,,
193,,193,0.042635172605514526,,
194,,194,0.04722045734524727,,
195,,195,0.04285702854394913,,
196,,196,0.04159640148282051,,
197,,197,0.044159773737192154,,
198,,198,0.04741266742348671,,
199,,199,,0.04904802888631821,
199,0.05309879407286644,199,,,0.05309879407286644
199,,199,0.04904802888631821,,
200,,200,0.04504682123661041,,
201,,201,0.04630662500858307,,
202,,202,0.04607805609703064,,
203,,203,0.04144912213087082,,
204,,204,0.043737880885601044,,
205,,205,0.04179432615637779,,
206,,206,0.045995719730854034,,
207,,207,0.046667784452438354,,
208,,208,0.050125427544116974,,
209,,209,0.04715018719434738,,
210,,210,0.03910301253199577,,
211,,211,0.04603201895952225,,
212,,212,0.04585203900933266,,
213,,213,0.044738806784152985,,
214,,214,0.04109873250126839,,
215,,215,0.04208593815565109,,
216,,216,0.044706422835588455,,
217,,217,0.04709966480731964,,
218,,218,0.04504077136516571,,
219,,219,0.038983505219221115,,
220,,220,0.04515315219759941,,
221,,221,0.047699179500341415,,
222,,222,0.041812714189291,,
223,,223,0.0487150140106678,,
224,,224,0.04674817621707916,,
225,,225,0.04972483590245247,,
226,,226,0.045060187578201294,,
227,,227,0.04105213284492493,,
228,,228,0.03937577083706856,,
229,,229,0.04872215911746025,,
230,,230,0.04819012060761452,,
231,,231,0.04437490925192833,,
232,,232,0.04681743308901787,,
233,,233,0.04515169560909271,,
234,,234,0.04215627536177635,,
235,,235,0.0455532930791378,,
236,,236,0.047827742993831635,,
237,,237,0.04674028232693672,,
238,,238,0.043015006929636,,
239,,239,0.04328657314181328,,
240,,240,0.04382561892271042,,
241,,241,0.05017397180199623,,
242,,242,0.048546891659498215,,
243,,243,0.04537802189588547,,
244,,244,0.04130622372031212,,
245,,245,0.045015137642621994,,
246,,246,0.04905306547880173,,
247,,247,0.04020712152123451,,
248,,248,0.04478771984577179,,
249,,249,,0.0417134091258049,
249,0.05415689945220947,249,,,0.05415689945220947
249,,249,0.0417134091258049,,
250,,250,0.040014635771512985,,
251,,251,0.043974701315164566,,
252,,252,0.04451068490743637,,
253,,253,0.04460834711790085,,
254,,254,0.04488227143883705,,
255,,255,0.043340422213077545,,
256,,256,0.042979009449481964,,
257,,257,0.04228156805038452,,
258,,258,0.04090595990419388,,
259,,259,0.03962399438023567,,
260,,260,0.04087287560105324,,
261,,261,0.04947565868496895,,
262,,262,0.04020789638161659,,
263,,263,0.044490549713373184,,
264,,264,0.03987876698374748,,
265,,265,0.041269369423389435,,
266,,266,0.04275031015276909,,
267,,267,0.04607227444648743,,
268,,268,0.04471491277217865,,
269,,269,0.038704317063093185,,
270,,270,0.046329889446496964,,
271,,271,0.04375169053673744,,
272,,272,0.04160171374678612,,
273,,273,0.04217186197638512,,
274,,274,0.046497177332639694,,
275,,275,0.04495122283697128,,
276,,276,0.0444595068693161,,
277,,277,0.03716149553656578,,
278,,278,0.04627646505832672,,
279,,279,0.04368110001087189,,
280,,280,0.04408595710992813,,
281,,281,0.04468466714024544,,
282,,282,0.043061960488557816,,
283,,283,0.04520066827535629,,
284,,284,0.04124797135591507,,
285,,285,0.04471006616950035,,
286,,286,0.04838895797729492,,
287,,287,0.04538876563310623,,
288,,288,0.040148861706256866,,
289,,289,0.045351315289735794,,
290,,290,0.04073724523186684,,
291,,291,0.04525211453437805,,
292,,292,0.04289989545941353,,
293,,293,0.039739470928907394,,
294,,294,0.047983549535274506,,
295,,295,0.047118060290813446,,
296,,296,0.046778056770563126,,
297,,297,0.04550420120358467,,
298,,298,0.04576369374990463,,
299,,299,,0.04379597678780556,
299,0.05379944667220116,299,,,0.05379944667220116
299,,299,0.04379597678780556,,
300,,300,0.03640471026301384,,
301,,301,0.041403595358133316,,
302,,302,0.041221681982278824,,
303,,303,0.0415906198322773,,
304,,304,0.042317815124988556,,
305,,305,0.04689086601138115,,
306,,306,0.04346445947885513,,
307,,307,0.04642407223582268,,
308,,308,0.047298941761255264,,
309,,309,0.046966951340436935,,
310,,310,0.04232504218816757,,
311,,311,0.041557665914297104,,
312,,312,0.03914601355791092,,
313,,313,0.04061005637049675,,
314,,314,0.04706735536456108,,
315,,315,0.04767496511340141,,
316,,316,0.04398629441857338,,
317,,317,0.045601196587085724,,
318,,318,0.050471916794776917,,
319,,319,0.038166794925928116,,
320,,320,0.04285833612084389,,
321,,321,0.03889348730444908,,
322,,322,0.04367157071828842,,
323,,323,0.040234167128801346,,
324,,324,0.044763579964637756,,
325,,325,0.04660741612315178,,
326,,326,0.043440576642751694,,
327,,327,0.044841598719358444,,
328,,328,0.041781555861234665,,
329,,329,0.04324696585536003,,
330,,330,0.04546809569001198,,
331,,331,0.040995512157678604,,
332,,332,0.039842817932367325,,
333,,333,0.04787696525454521,,
334,,334,0.04374120384454727,,
335,,335,0.04366907477378845,,
336,,336,0.044942550361156464,,
337,,337,0.03968656063079834,,
338,,338,0.04238232225179672,,
339,,339,0.042297445237636566,,
340,,340,0.041285689920186996,,
341,,341,0.04925370216369629,,
342,,342,0.05262406915426254,,
343,,343,0.04296502098441124,,
344,,344,0.045655328780412674,,
345,,345,0.04295377805829048,,
346,,346,0.042327411472797394,,
347,,347,0.047440558671951294,,
348,,348,0.04327143356204033,,
349,,349,,0.039254218339920044,
349,0.05336093530058861,349,,,0.05336093530058861
349,,349,0.039254218339920044,,
350,,350,0.04448532313108444,,
351,,351,0.052001953125,,
352,,352,0.04687008634209633,,
353,,353,0.04491289332509041,,
354,,354,0.04346800595521927,,
355,,355,0.04645168036222458,,
356,,356,0.04226953908801079,,
357,,357,0.03973635658621788,,
358,,358,0.0388731025159359,,
359,,359,0.042451974004507065,,
360,,360,0.049484219402074814,,
361,,361,0.04221584275364876,,
362,,362,0.04846113920211792,,
363,,363,0.04318709671497345,,
364,,364,0.04189714789390564,,
365,,365,0.03865202143788338,,
366,,366,0.04694120213389397,,
367,,367,0.04669930785894394,,
368,,368,0.04592235013842583,,
369,,369,0.048099298030138016,,
370,,370,0.04390975087881088,,
371,,371,0.04348374158143997,,
372,,372,0.04191643372178078,,
373,,373,0.043208833783864975,,
374,,374,0.04457275941967964,,
375,,375,0.0412365086376667,,
376,,376,0.04341336712241173,,
377,,377,0.04237372800707817,,
378,,378,0.04191802442073822,,
379,,379,0.042640261352062225,,
380,,380,0.04306016117334366,,
381,,381,0.04321933537721634,,
382,,382,0.037475988268852234,,
383,,383,0.045695796608924866,,
384,,384,0.040467921644449234,,
385,,385,0.03962564468383789,,
386,,386,0.04635531082749367,,
387,,387,0.04516024515032768,,
388,,388,0.04538596794009209,,
389,,389,0.040610671043395996,,
390,,390,0.05069379508495331,,
391,,391,0.042777612805366516,,
392,,392,0.04600490629673004,,
393,,393,0.04572659730911255,,
394,,394,0.04615208879113197,,
395,,395,0.04220421984791756,,
396,,396,0.0426291860640049,,
397,,397,0.04762379080057144,,
398,,398,0.048212748020887375,,
399,,399,,0.043198470026254654,
399,0.05321997404098511,399,,,0.05321997404098511
399,,399,0.043198470026254654,,
400,,400,0.04269477725028992,,
401,,401,0.03789988160133362,,
402,,402,0.041754018515348434,,
403,,403,0.04423999786376953,,
404,,404,0.0474168136715889,,
405,,405,0.04515479877591133,,
406,,406,0.04300817474722862,,
407,,407,0.04555043205618858,,
408,,408,0.04303979128599167,,
409,,409,0.038105644285678864,,
410,,410,0.0454951636493206,,
411,,411,0.04007764533162117,,
412,,412,0.04600194841623306,,
413,,413,0.04633325710892677,,
414,,414,0.038422539830207825,,
415,,415,0.03746702894568443,,
416,,416,0.04906078800559044,,
417,,417,0.04707367345690727,,
418,,418,0.04105035215616226,,
419,,419,0.04370521008968353,,
420,,420,0.045388881117105484,,
421,,421,0.041001155972480774,,
422,,422,0.04128769040107727,,
423,,423,0.04385143518447876,,
424,,424,0.04034963622689247,,
425,,425,0.04550117999315262,,
426,,426,0.042075060307979584,,
427,,427,0.036561235785484314,,
428,,428,0.04324791952967644,,
429,,429,0.041729722172021866,,
430,,430,0.03588782995939255,,
431,,431,0.0470520444214344,,
432,,432,0.04319511353969574,,
433,,433,0.047934141010046005,,
434,,434,0.048707734793424606,,
435,,435,0.04365791007876396,,
436,,436,0.043236956000328064,,
437,,437,0.04152451455593109,,
438,,438,0.0427740253508091,,
439,,439,0.04498732462525368,,
440,,440,0.044494569301605225,,
441,,441,0.044509097933769226,,
442,,442,0.04687565565109253,,
443,,443,0.04540358856320381,,
444,,444,0.037860650569200516,,
445,,445,0.042158275842666626,,
446,,446,0.03970223292708397,,
447,,447,0.041108328849077225,,
448,,448,0.04008515551686287,,
449,,449,,0.04154227674007416,
449,0.05308516323566437,449,,,0.05308516323566437
449,,449,0.04154227674007416,,
450,,450,0.04473600909113884,,
451,,451,0.03878220543265343,,
452,,452,0.04369145259261131,,
453,,453,0.040452245622873306,,
454,,454,0.04230726882815361,,
455,,455,0.04478520154953003,,
456,,456,0.04161550849676132,,
457,,457,0.04230955243110657,,
458,,458,0.04405580088496208,,
459,,459,0.038428131490945816,,
460,,460,0.04358341917395592,,
461,,461,0.04348042234778404,,
462,,462,0.05070367082953453,,
463,,463,0.04471030458807945,,
464,,464,0.0395619235932827,,
465,,465,0.04835737869143486,,
466,,466,0.04537040740251541,,
467,,467,0.040728501975536346,,
468,,468,0.04177268221974373,,
469,,469,0.04654260724782944,,
470,,470,0.043064411729574203,,
471,,471,0.041160229593515396,,
472,,472,0.04255343973636627,,
473,,473,0.045158300548791885,,
474,,474,0.03963030129671097,,
475,,475,0.04680318757891655,,
476,,476,0.04607748985290527,,
477,,477,0.04214081913232803,,
478,,478,0.045782025903463364,,
479,,479,0.04260662943124771,,
480,,480,0.043232012540102005,,
481,,481,0.04527135565876961,,
482,,482,0.043767187744379044,,
483,,483,0.04496096074581146,,
484,,484,0.04184133931994438,,
485,,485,0.04017031192779541,,
486,,486,0.040386833250522614,,
487,,487,0.045474905520677567,,
488,,488,0.04171643778681755,,
489,,489,0.040089499205350876,,
490,,490,0.04063679277896881,,
491,,491,0.039479490369558334,,
492,,492,0.045431897044181824,,
493,,493,0.046096667647361755,,
494,,494,0.04230262711644173,,
495,,495,0.04212167486548424,,
496,,496,0.041137874126434326,,
497,,497,0.045511990785598755,,
498,,498,0.04825115203857422,,
499,,499,,0.044788047671318054,
499,0.05284738913178444,499,,,0.05284738913178444
499,,499,0.044788047671318054,,
